product_id,name,category,descripcion,palabras_clave,index
1,Sesión de Terapia Online,Bienestar Mental,Consulta con expertos en bienestar mental desde la comodidad de tu hogar.,"Mindfulness, Relajación, Terapia",13
2,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
3,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
4,Rutina de Ejercicios Personalizada,Deportes,Planes de ejercicios adaptados a tus objetivos de salud y condición física.,"Deporte, Fitness, Rendimiento",12
5,Juguetes para Mascotas,Mascotas,Diversión asegurada para tu mascota con juguetes interactivos y seguros.,"Cuidado, Juguetes, Mascotas",7
6,Plan de Alimentación Saludable,Nutrición,Menús equilibrados diseñados por nutricionistas para mejorar tu salud.,"Alimentación, Dieta, Suplementos",9
7,Ropa Deportiva,Deportes,Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.,"Deporte, Fitness, Rendimiento",11
8,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
9,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
10,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
11,Juguetes para Mascotas,Mascotas,Diversión asegurada para tu mascota con juguetes interactivos y seguros.,"Cuidado, Juguetes, Mascotas",7
12,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
13,Clases de Yoga Online,Salud,Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.,"Bienestar, Ejercicio, Salud",2
14,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
15,Curso de Mindfulness,Bienestar Mental,Desarrolla hábitos de atención plena para mejorar tu bienestar mental.,"Mindfulness, Relajación, Terapia",4
16,Entrenamiento en Casa,Deportes,Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.,"Deporte, Fitness, Rendimiento",6
17,Curso de Mindfulness,Bienestar Mental,Desarrolla hábitos de atención plena para mejorar tu bienestar mental.,"Mindfulness, Relajación, Terapia",4
18,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
19,Rutina de Ejercicios Personalizada,Deportes,Planes de ejercicios adaptados a tus objetivos de salud y condición física.,"Deporte, Fitness, Rendimiento",12
20,Curso de Mindfulness,Bienestar Mental,Desarrolla hábitos de atención plena para mejorar tu bienestar mental.,"Mindfulness, Relajación, Terapia",4
21,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
22,Plan de Alimentación Saludable,Nutrición,Menús equilibrados diseñados por nutricionistas para mejorar tu salud.,"Alimentación, Dieta, Suplementos",9
23,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
24,Clases de Yoga Online,Salud,Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.,"Bienestar, Ejercicio, Salud",2
25,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
26,Ropa Deportiva,Deportes,Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.,"Deporte, Fitness, Rendimiento",11
27,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
28,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
29,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
30,Entrenamiento en Casa,Deportes,Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.,"Deporte, Fitness, Rendimiento",6
31,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
32,Clases de Yoga Online,Salud,Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.,"Bienestar, Ejercicio, Salud",2
33,Curso de Mindfulness,Bienestar Mental,Desarrolla hábitos de atención plena para mejorar tu bienestar mental.,"Mindfulness, Relajación, Terapia",4
34,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
35,Juguetes para Mascotas,Mascotas,Diversión asegurada para tu mascota con juguetes interactivos y seguros.,"Cuidado, Juguetes, Mascotas",7
36,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
37,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
38,Sesión de Terapia Online,Bienestar Mental,Consulta con expertos en bienestar mental desde la comodidad de tu hogar.,"Mindfulness, Relajación, Terapia",13
39,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
40,Sesión de Terapia Online,Bienestar Mental,Consulta con expertos en bienestar mental desde la comodidad de tu hogar.,"Mindfulness, Relajación, Terapia",13
41,Rutina de Ejercicios Personalizada,Deportes,Planes de ejercicios adaptados a tus objetivos de salud y condición física.,"Deporte, Fitness, Rendimiento",12
42,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
43,Rutina de Ejercicios Personalizada,Deportes,Planes de ejercicios adaptados a tus objetivos de salud y condición física.,"Deporte, Fitness, Rendimiento",12
44,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
45,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
46,Rutina de Ejercicios Personalizada,Deportes,Planes de ejercicios adaptados a tus objetivos de salud y condición física.,"Deporte, Fitness, Rendimiento",12
47,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
48,Vitaminas y Suplementos,Nutrición,Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.,"Alimentación, Dieta, Suplementos",15
49,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
50,Juguetes para Mascotas,Mascotas,Diversión asegurada para tu mascota con juguetes interactivos y seguros.,"Cuidado, Juguetes, Mascotas",7
51,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
52,Juguetes para Mascotas,Mascotas,Diversión asegurada para tu mascota con juguetes interactivos y seguros.,"Cuidado, Juguetes, Mascotas",7
53,Rutina de Ejercicios Personalizada,Deportes,Planes de ejercicios adaptados a tus objetivos de salud y condición física.,"Deporte, Fitness, Rendimiento",12
54,Vitaminas y Suplementos,Nutrición,Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.,"Alimentación, Dieta, Suplementos",15
55,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
56,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
57,Curso de Mindfulness,Bienestar Mental,Desarrolla hábitos de atención plena para mejorar tu bienestar mental.,"Mindfulness, Relajación, Terapia",4
58,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
59,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
60,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
61,Sesión de Terapia Online,Bienestar Mental,Consulta con expertos en bienestar mental desde la comodidad de tu hogar.,"Mindfulness, Relajación, Terapia",13
62,Juguetes para Mascotas,Mascotas,Diversión asegurada para tu mascota con juguetes interactivos y seguros.,"Cuidado, Juguetes, Mascotas",7
63,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
64,Ropa Deportiva,Deportes,Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.,"Deporte, Fitness, Rendimiento",11
65,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
66,Sesión de Terapia Online,Bienestar Mental,Consulta con expertos en bienestar mental desde la comodidad de tu hogar.,"Mindfulness, Relajación, Terapia",13
67,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
68,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
69,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
70,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
71,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
72,Monitor de Ritmo Cardíaco,Salud,Dispositivo preciso para medir tu frecuencia cardíaca en tiempo real.,"Bienestar, Ejercicio, Salud",8
73,Vitaminas y Suplementos,Nutrición,Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.,"Alimentación, Dieta, Suplementos",15
74,Entrenamiento en Casa,Deportes,Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.,"Deporte, Fitness, Rendimiento",6
75,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
76,Entrenamiento en Casa,Deportes,Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.,"Deporte, Fitness, Rendimiento",6
77,Juguetes para Mascotas,Mascotas,Diversión asegurada para tu mascota con juguetes interactivos y seguros.,"Cuidado, Juguetes, Mascotas",7
78,Vitaminas y Suplementos,Nutrición,Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.,"Alimentación, Dieta, Suplementos",15
79,Vitaminas y Suplementos,Nutrición,Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.,"Alimentación, Dieta, Suplementos",15
80,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
81,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
82,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
83,Juguetes para Mascotas,Mascotas,Diversión asegurada para tu mascota con juguetes interactivos y seguros.,"Cuidado, Juguetes, Mascotas",7
84,Vitaminas y Suplementos,Nutrición,Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.,"Alimentación, Dieta, Suplementos",15
85,Clases de Yoga Online,Salud,Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.,"Bienestar, Ejercicio, Salud",2
86,Clases de Yoga Online,Salud,Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.,"Bienestar, Ejercicio, Salud",2
87,Curso de Mindfulness,Bienestar Mental,Desarrolla hábitos de atención plena para mejorar tu bienestar mental.,"Mindfulness, Relajación, Terapia",4
88,Plan de Alimentación Saludable,Nutrición,Menús equilibrados diseñados por nutricionistas para mejorar tu salud.,"Alimentación, Dieta, Suplementos",9
89,Entrenamiento en Casa,Deportes,Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.,"Deporte, Fitness, Rendimiento",6
90,Reloj Inteligente para Fitness,Deportes,"Monitoriza tu ritmo cardíaco, pasos y calorías quemadas con este smartwatch.","Deporte, Fitness, Rendimiento",10
91,Vitaminas y Suplementos,Nutrición,Complementa tu dieta con vitaminas esenciales para un estilo de vida saludable.,"Alimentación, Dieta, Suplementos",15
92,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
93,Accesorios para Entrenamiento,Deportes,"Cintas, mancuernas y más para potenciar tu entrenamiento en casa o el gimnasio.","Deporte, Fitness, Rendimiento",1
94,Juguetes para Mascotas,Mascotas,Diversión asegurada para tu mascota con juguetes interactivos y seguros.,"Cuidado, Juguetes, Mascotas",7
95,Entrenamiento en Casa,Deportes,Rutinas de ejercicios para mantenerte en forma sin necesidad de equipo especial.,"Deporte, Fitness, Rendimiento",6
96,Clases de Yoga Online,Salud,Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.,"Bienestar, Ejercicio, Salud",2
97,Plan de Alimentación Saludable,Nutrición,Menús equilibrados diseñados por nutricionistas para mejorar tu salud.,"Alimentación, Dieta, Suplementos",9
98,Sesión de Terapia Online,Bienestar Mental,Consulta con expertos en bienestar mental desde la comodidad de tu hogar.,"Mindfulness, Relajación, Terapia",13
99,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
100,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
101,Clases de Yoga Online,Salud,Sesiones guiadas de yoga para mejorar la flexibilidad y reducir el estrés.,"Bienestar, Ejercicio, Salud",2
102,Curso de Mindfulness,Bienestar Mental,Desarrolla hábitos de atención plena para mejorar tu bienestar mental.,"Mindfulness, Relajación, Terapia",4
103,Sesión de Terapia Online,Bienestar Mental,Consulta con expertos en bienestar mental desde la comodidad de tu hogar.,"Mindfulness, Relajación, Terapia",13
104,Entrenador Personal Virtual,Bienestar Mental,Accede a planes de entrenamiento personalizados con asesoría profesional.,"Mindfulness, Relajación, Terapia",5
105,Ropa Deportiva,Deportes,Prendas cómodas y de alta calidad para mejorar tu rendimiento deportivo.,"Deporte, Fitness, Rendimiento",11
106,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
107,Spa y Masajes,Salud,Tratamientos relajantes para reducir el estrés y mejorar la circulación.,"Bienestar, Ejercicio, Salud",14
108,Curso de Meditación,Bienestar Mental,Aprende técnicas de mindfulness y relajación para reducir la ansiedad.,"Mindfulness, Relajación, Terapia",3
